basename,orbit,mirror,filter,hole,energy_keV,funnelling_eff,funnelling_eff_err,geom_factor_cm2,total_particles,total_particles_err,cl
output_DPH_filterOff_500keV_option4_N1m.root,98-deg,DPH,filterOff,withoutOpening,500,5.950000e-04,2.438536e-05,4.708164e-02,3.633625e+06,1.489198e+05,CL95
output_DPH_filterOn_1000keV_option4_N1m.root,98-deg,DPH,filterOn,withoutOpening,1000,8.600000e-04,2.931314e-05,4.708164e-02,2.825071e+06,9.629270e+04,CL95
output_DPH_filterOn_100keV_ss_N300k.root,98-deg,DPH,filterOn,withoutOpening,100,2.733333e-04,3.018049e-05,4.708164e-02,3.854855e+06,4.256394e+05,CL95
output_DPH_filterOn_250keV_ss_N300k.root,98-deg,DPH,filterOn,withoutOpening,250,6.600000e-04,4.688868e-05,4.708164e-02,5.510040e+06,3.914522e+05,CL95
output_DPH_filterOn_500keV_option4_N1m.root,98-deg,DPH,filterOn,withoutOpening,500,5.440000e-04,2.331746e-05,4.708164e-02,3.322171e+06,1.423982e+05,CL95
output_SP_filterOff_1000keV_option4_N1m.root,98-deg,SP,filterOff,withoutOpening,1000,4.740000e-04,2.176638e-05,5.275936e-02,1.744846e+06,8.012445e+04,CL95
output_SP_filterOff_100keV_ss_N300k.root,98-deg,SP,filterOff,withoutOpening,100,3.966667e-04,3.635516e-05,5.275936e-02,6.268868e+06,5.745522e+05,CL95
output_SP_filterOff_250keV_ss_N300k.root,98-deg,SP,filterOff,withoutOpening,250,4.700000e-04,3.957184e-05,5.275936e-02,4.397001e+06,3.702073e+05,CL95
output_SP_filterOff_500keV_option4_N1m.root,98-deg,SP,filterOff,withoutOpening,500,3.860000e-04,1.964309e-05,5.275936e-02,2.641547e+06,1.344252e+05,CL95
output_SP_filterOn_1000keV_option4_N1m.root,98-deg,SP,filterOn,withoutOpening,1000,4.600000e-04,2.144268e-05,5.275936e-02,1.693311e+06,7.893287e+04,CL95
output_SP_filterOn_100keV_ss_N300k.root,98-deg,SP,filterOn,withoutOpening,100,2.133333e-04,2.666382e-05,5.275936e-02,3.371492e+06,4.213915e+05,CL95
output_SP_filterOn_250keV_ss_N300k.root,98-deg,SP,filterOn,withoutOpening,250,4.233333e-04,3.755681e-05,5.275936e-02,3.960419e+06,3.513560e+05,CL95
output_SP_filterOn_500keV_option4_N1m.root,98-deg,SP,filterOn,withoutOpening,500,3.720000e-04,1.928371e-05,5.275936e-02,2.545739e+06,1.319659e+05,CL95
output_DCC_filterOff_50keV_ss_N100k.root,45-deg,DCC,filterOff,withOpening,50,7.700000e-04,8.771585e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL75
output_DCC_filterOn_50keV_ss_N100k.root,45-deg,DCC,filterOn,withOpening,50,9.000000e-05,2.999865e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL75
output_DPH_filterOff_50keV_ss_N100k.root,45-deg,DPH,filterOff,withOpening,50,8.500000e-04,9.215625e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL75
output_DPH_filterOn_50keV_ss_N100k.root,45-deg,DPH,filterOn,withOpening,50,9.000000e-05,2.999865e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL75
output_SP_filterOff_50keV_ss_N100k.root,45-deg,SP,filterOff,withOpening,50,5.600000e-04,7.481219e-05,5.275936e-02,0.000000e+00,0.000000e+00,CL75
output_SP_filterOn_50keV_ss_N100k.root,45-deg,SP,filterOn,withOpening,50,2.000000e-05,1.414199e-05,5.275936e-02,0.000000e+00,0.000000e+00,CL75
output_DCC_filterOff_1000keV_option4_N1m.root,45-deg,DCC,filterOff,withOpening,1000,9.040000e-04,3.005300e-05,4.708164e-02,8.973428e+05,2.983168e+04,CL75
output_DCC_filterOff_100keV_ss_N300k.root,45-deg,DCC,filterOff,withOpening,100,8.700000e-04,5.382822e-05,4.708164e-02,6.423129e+05,3.974087e+04,CL75
output_DCC_filterOff_250keV_ss_N300k.root,45-deg,DCC,filterOff,withOpening,250,9.066667e-04,5.494981e-05,4.708164e-02,9.407386e+05,5.701479e+04,CL75
output_DCC_filterOff_500keV_option4_N1m.root,45-deg,DCC,filterOff,withOpening,500,6.680000e-04,2.583706e-05,4.708164e-02,7.549742e+05,2.920107e+04,CL75
output_DCC_filterOn_1000keV_option4_N1m.root,45-deg,DCC,filterOn,withOpening,1000,9.650000e-04,3.104946e-05,4.708164e-02,9.578936e+05,3.082080e+04,CL75
